Procedure,Review Flag,Cases (Procedure),Annualized Deviation (Procedure),% Outside ±30 Min (Procedure)
"IRRIGATION AND DEBRIDEMENT, HIP, WITH REMOVAL OR INSERTION OF HIP SPACER",Other review contexts,34,419,76.5%
"IRRIGATION AND DEBRIDEMENT, KNEE",Higher exposure / lower reliability,82,718,59.8%
"IRRIGATION AND DEBRIDEMENT, LOWER EXTREMITY",Other review contexts,586,5245,54.1%
"IRRIGATION AND DEBRIDEMENT, SPINE",Other review contexts,50,389,42.0%
"IRRIGATION AND DEBRIDEMENT, UPPER EXTREMITY",Higher exposure / lower reliability,181,2250,70.7%
"IRRIGATION AND DEBRIDEMENT, WOUND",Other review contexts,220,1904,50.0%
"IRRIGATION AND DEBRIDEMENT, WOUND, RELATED TO IMPAIRED POSTOPERATIVE HEALING",Other review contexts,38,257,36.8%
"IRRIGATION, WOUND, ABDOMEN",Other review contexts,181,1329,44.2%
"JEJUNOSTOMY, LAPAROSCOPIC",Other review contexts,54,317,40.7%
"KERATOPLASTY, PENETRATING",Other review contexts,43,291,51.2%
"LAMINECTOMY, DECOMPRESSIVE",Other review contexts,43,572,76.7%
"LAMINECTOMY, LUMBAR",Other review contexts,108,1041,56.5%
"LAMINECTOMY, SPINE, THORACIC",Higher exposure / lower reliability,36,655,80.6%
"LAMINECTOMY, SPINE, WITH MICRODISCECTOMY",Other review contexts,63,444,42.9%
"LAMINECTOMY, SPINE, WITH NEOPLASM EXCISION",Higher exposure / lower reliability,43,658,69.8%
"LAMINECTOMY, THORACIC OR LUMBAR, POSTERIOR APPROACH",Higher exposure / lower reliability,76,1073,76.3%
"LAMINOPLASTY, SPINE, CERVICAL, POSTERIOR APPROACH",Other review contexts,46,330,47.8%
"LAPAROSCOPIC REPAIR, PARAESOPHAGEAL HERNIA",Other review contexts,152,934,39.5%
"LAPAROSCOPY, DIAGNOSTIC",Higher exposure / lower reliability,996,12895,65.6%
"LAPAROSCOPY, DIAGNOSTIC, WITH ECTOPIC PREGNANCY EXCISION, WITH LAPAROTOMY IF INDICATED",Other review contexts,36,149,30.6%
"LAPAROSCOPY, DIAGNOSTIC, WITH EXPLORATORY LAPAROTOMY AND LIVER RESECTION",Higher exposure / lower reliability,34,821,76.5%
"LAPAROSCOPY, DIAGNOSTIC, WITH EXPLORATORY LAPAROTOMY IF INDICATED",Higher exposure / lower reliability,308,3793,65.9%
"LAPAROSCOPY, EXPLORATORY",Higher exposure / lower reliability,52,1047,90.4%
"LAPAROTOMY, EXPLORATORY",Higher exposure / lower reliability,903,14378,75.4%
"LAPAROTOMY, EXPLORATORY, EMERGENT FOR ABDOMINAL TRAUMA",Higher exposure / lower reliability,263,3385,70.3%
"LAPAROTOMY, EXPLORATORY, WITH BOWEL RESECTION",Higher exposure / lower reliability,132,2817,82.6%
"LAPAROTOMY, EXPLORATORY, WITH SALPINGO-OOPHORECTOMY",Other review contexts,45,594,68.9%
"LARYNGOSCOPY, DIRECT",Other review contexts,31,315,61.3%
"LARYNGOSCOPY, DIRECT, WITH BIOPSY",Other review contexts,202,1354,37.1%
"LARYNGOSCOPY, DIRECT, WITH ESOPHAGOSCOPY AND BIOPSY",Other review contexts,37,186,18.9%
"LIGATION, AV FISTULA",Higher exposure / lower reliability,70,784,64.3%
"LIGATION, FALLOPIAN TUBE, BILATERAL, LAPAROSCOPIC",Other review contexts,83,235,12.0%
"LOBECTOMY, BRAIN, TEMPORAL",Other review contexts,48,319,35.4%
"LOBECTOMY, THYROID",Other review contexts,106,701,47.2%
"LOBECTOMY, THYROID, TOTAL",Other review contexts,82,297,14.6%
"LUMPECTOMY, BREAST",Other review contexts,41,364,68.3%
"MANIPULATION, JOINT",Other review contexts,30,142,10.0%
"MASTECTOMY, SIMPLE",Higher exposure / lower reliability,92,1409,88.0%
"MASTECTOMY, SIMPLE, WITH SENTINEL LYMPH NODE BIOPSY",Higher exposure / lower reliability,79,1458,79.7%
"MASTOPEXY, BILATERAL",Other review contexts,51,584,62.7%
MAXILLECTOMY,Higher exposure / lower reliability,39,1191,92.3%
MEDIAN STERNOTOMY,Other review contexts,31,581,74.2%
MUSCLE FLAP,Higher exposure / lower reliability,40,663,80.0%
MYOMECTOMY,Other review contexts,32,276,62.5%
"MYOMECTOMY, UTERUS, ROBOT-ASSISTED, LAPAROSCOPIC",Other review contexts,36,368,66.7%
NEPHRECTOMY,Other review contexts,35,566,77.1%
"NEPHRECTOMY, LAPAROSCOPIC",Higher exposure / lower reliability,81,1238,74.1%
"NEPHRECTOMY, PARTIAL, LAPAROSCOPIC",Other review contexts,40,378,62.5%
"NEPHRECTOMY, PARTIAL, ROBOT-ASSISTED, LAPAROSCOPIC",Higher exposure / lower reliability,68,962,70.6%
"NEPHRECTOMY, RADICAL",Higher exposure / lower reliability,46,858,82.6%
