Procedure,Cases (Procedure),% Outside ±30 Min (Procedure),Historical Benchmark (min),Review Context
"IRRIGATION AND DEBRIDEMENT, LOWER EXTREMITY",586,54.1%,117,"Review exposure / high exposure, reliable"
"EXPLORATION, CHEST",76,53.9%,163,"Review exposure / high exposure, reliable"
"CLOSURE, WOUND",41,53.7%,128,"Monitor / low exposure, reliable"
"EXTERNAL FIXATION, TIBIA",54,53.7%,126,"Monitor / low exposure, reliable"
"COLECTOMY, RIGHT, PARTIAL, LAPAROSCOPIC, WITH TERMINAL ILEUM REMOVAL AND ILEOCOLOSTOMY",71,53.5%,233,"Review exposure / high exposure, reliable"
"CREATION, COLOSTOMY, DIVERTING",30,53.3%,152,"Monitor / low exposure, reliable"
"WEDGE RESECTION, LOBE, LUNG, USING VIDEO-ASSISTED THORACOSCOPIC SURGERY",62,53.2%,158,"Review exposure / high exposure, reliable"
"BRONCHOSCOPY, RIGID",298,53.0%,111,"Review exposure / high exposure, reliable"
"ENDARTERECTOMY, CAROTID",66,53.0%,315,"Monitor / low exposure, reliable"
"CRANIOTOMY, FOR SUBDURAL HEMATOMA EVACUATION",85,52.9%,160,"Monitor / low exposure, reliable"
"REPAIR, HERNIA, UMBILICAL",97,52.6%,111,"Review exposure / high exposure, reliable"
"VITRECTOMY, PARS PLANA APPROACH",78,52.6%,141,"Monitor / low exposure, reliable"
"BIOPSY, BRAIN, WITH IMAGING GUIDANCE",40,52.5%,171,"Monitor / low exposure, reliable"
